Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:15542495178610,ED FOR ALL LTD,,,,CHANNINGS CHILDCARE,21 WHITEHALL STREET,ROCHDALE,,OL12 0LN,15.05.2024,44000,DAY NURSERY AND PREMISES,N,,0,0,N,N,N
Ref:15542496073650,NORTHERN CARE ALLIANCE NHS,FOUNDATION TRUST,GP WALK IN CENTRE AND DENTAL,,ACCESS CENTRE WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL12 0NB,01.04.2020,19500,HEALTH CENTRE AND PREMISES,N,,0,0,N,N,N
Ref:15542499153491,THE NORTHERN CARE ALLIANCE,NHS FOUNDATION TRUST,ROCHDALE INFIRMARY,,WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL12 0NB,01.10.2021,795000,HOSPITAL AND PREMISES,N,,0,0,N,N,N
Ref:15542499181025,THE DANCE & MARTIAL ARTS CLUB,LTD,J D DANCE CLUB,,WHITEHALL STREET,ROCHDALE,LANCASHIRE,,OL12 0RZ,01.04.2011,10000,SCHOOL AND PREMISES,N,,0,0,Y,N,N
Ref:15548396043937,ARQIVA LIMITED,,NTL SITE NO 10388,,WHITTAKER MOSS,ROCHDALE,LANCASHIRE,,OL11 5UY,01.04.2005,11750,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:15557000001065,DUNELM (SOFT FURNISHINGS) LTD,,DUNELM PLC,,WHITWORTH ROAD,ROCHDALE,LANCS,,OL12 6EP,01.04.2005,199000,RETAIL WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:15557000002015,CARPETRIGHT PLC,,CARPET RIGHT OF LONDON,,WHITWORTH ROAD,ROCHDALE,LANCASHIRE,,OL12 0TY,01.04.2005,65500,RETAIL WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:15557000010083,FRANK KEY TOOL HIRE LTD,,,,27 WHITWORTH ROAD,ROCHDALE,LANCASHIRE,,OL12 0RA,01.04.2005,7100,WAREHOUSE AND PREMISES,N,,0,0,N,N,Y
Ref:15557000060044,H&D COMMUNICATIONS LTD,,,,39 WHITWORTH ROAD,ROCHDALE,LANCASHIRE,,OL12 0RA,28.02.2018,5500,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15557000130073,ANWAR AND CO LTD,,WHITWORTH ROAD SERVICE STATION,NEAR,63 WHITWORTH ROAD,ROCHDALE,LANCASHIRE,,OL12 0RA,01.04.2005,53500,PETROL FILLING STATION AND PREMISES,N,,0,0,N,N,Y
